timestamp,cpu_total_pct
2026-09-22T23:48:29.3866174-05:00,77.4
2026-09-22T23:48:34.4264992-05:00,83.0
2026-09-22T23:48:39.4633673-05:00,97.5
2026-09-22T23:48:44.4787497-05:00,87.1
2026-09-22T23:48:49.5089896-05:00,99.8
2026-09-22T23:48:54.5203774-05:00,89.9
2026-09-22T23:48:59.5483866-05:00,94.9
2026-09-22T23:49:04.5743547-05:00,99.7
2026-09-22T23:49:09.5938644-05:00,96.4
2026-09-22T23:49:14.6159438-05:00,83.7
2026-09-22T23:49:19.6327515-05:00,92.9
2026-09-22T23:49:24.6455924-05:00,98.4
2026-09-22T23:49:29.6772269-05:00,99.5
2026-09-22T23:49:34.7109234-05:00,96.3
2026-09-22T23:49:39.7345280-05:00,98.9
2026-09-22T23:49:44.7518692-05:00,65.7
2026-09-22T23:49:49.7829422-05:00,93.6
2026-09-22T23:49:54.8148571-05:00,100.0
2026-09-22T23:49:59.8353773-05:00,99.9
2026-09-22T23:50:04.8777317-05:00,90.6
2026-09-22T23:50:09.9001532-05:00,87.6
2026-09-22T23:50:14.9283157-05:00,76.6
2026-09-22T23:50:19.9600460-05:00,99.8
2026-09-22T23:50:24.9771033-05:00,95.1
2026-09-22T23:50:29.9945083-05:00,99.3
2026-09-22T23:50:35.0657251-05:00,99.4
2026-09-22T23:50:40.1062059-05:00,100.0
2026-09-22T23:50:45.1367755-05:00,99.9
2026-09-22T23:50:50.2086405-05:00,90.8
2026-09-22T23:50:55.2636835-05:00,99.9
2026-09-22T23:51:00.2810789-05:00,98.0
2026-09-22T23:51:05.2921069-05:00,96.5
2026-09-22T23:51:10.3213424-05:00,88.2
2026-09-22T23:51:15.3519109-05:00,99.2
2026-09-22T23:51:20.4255923-05:00,98.0
2026-09-22T23:51:25.4496488-05:00,72.7
2026-09-22T23:51:30.4880125-05:00,91.3
2026-09-22T23:51:35.5147103-05:00,99.9
2026-09-22T23:51:40.5374403-05:00,85.6
2026-09-22T23:51:45.6137998-05:00,99.5
2026-09-22T23:51:50.6278154-05:00,83.2
2026-09-22T23:51:55.6600319-05:00,99.3
2026-09-22T23:52:00.6985815-05:00,97.1
2026-09-22T23:52:05.7259005-05:00,90.8
2026-09-22T23:52:10.7509620-05:00,86.4
2026-09-22T23:52:15.7834480-05:00,96.0
2026-09-22T23:52:20.8140648-05:00,99.0
2026-09-22T23:52:25.8258366-05:00,85.9
2026-09-22T23:52:30.8545398-05:00,97.3
2026-09-22T23:52:35.8690085-05:00,98.4
2026-09-22T23:52:40.9002783-05:00,97.4
2026-09-22T23:52:45.9251830-05:00,87.7
2026-09-22T23:52:50.9545239-05:00,86.5
2026-09-22T23:52:55.9883496-05:00,83.1
2026-09-22T23:53:01.0457046-05:00,91.3
2026-09-22T23:53:06.0683382-05:00,91.8
2026-09-22T23:53:11.0907164-05:00,79.5
2026-09-22T23:53:16.1089252-05:00,86.0
2026-09-22T23:53:21.1266620-05:00,94.0
2026-09-22T23:53:26.1475671-05:00,89.4
2026-09-22T23:53:31.1733432-05:00,89.4
2026-09-22T23:53:36.2039341-05:00,96.0
2026-09-22T23:53:41.2188566-05:00,87.1
2026-09-22T23:53:46.2543861-05:00,91.4
2026-09-22T23:53:51.2766270-05:00,80.5
2026-09-22T23:53:56.2967392-05:00,83.6
2026-09-22T23:54:01.3198403-05:00,85.7
2026-09-22T23:54:06.3460654-05:00,77.4
2026-09-22T23:54:11.3654170-05:00,88.7
2026-09-22T23:54:16.3884291-05:00,95.1
2026-09-22T23:54:21.4050372-05:00,77.2
2026-09-22T23:54:26.4186097-05:00,85.1
2026-09-22T23:54:31.4448916-05:00,93.4
2026-09-22T23:54:36.4861331-05:00,94.0
2026-09-22T23:54:41.5072224-05:00,86.4
2026-09-22T23:54:46.5231635-05:00,88.9
2026-09-22T23:54:51.5502709-05:00,89.0
2026-09-22T23:54:56.5693870-05:00,83.5
2026-09-22T23:55:01.6222236-05:00,94.4
2026-09-22T23:55:06.6388481-05:00,91.0
2026-09-22T23:55:11.6610565-05:00,90.0
2026-09-22T23:55:16.6770005-05:00,90.1
2026-09-22T23:55:21.6978987-05:00,87.5
2026-09-22T23:55:26.7263148-05:00,89.3
2026-09-22T23:55:31.7819678-05:00,100.0
2026-09-22T23:55:36.8378582-05:00,94.3
2026-09-22T23:55:41.8947051-05:00,99.5
2026-09-22T23:55:46.9231484-05:00,97.6
2026-09-22T23:55:51.9749852-05:00,99.9
2026-09-22T23:55:57.0223300-05:00,82.0
2026-09-22T23:56:02.0374739-05:00,100.0
2026-09-22T23:56:07.0631136-05:00,100.0
2026-09-22T23:56:12.0835584-05:00,88.5
2026-09-22T23:56:17.1456645-05:00,92.5
2026-09-22T23:56:22.1749849-05:00,90.8
2026-09-22T23:56:27.2022336-05:00,87.7
2026-09-22T23:56:32.2238590-05:00,97.7
2026-09-22T23:56:37.2463599-05:00,97.3
2026-09-22T23:56:42.3227414-05:00,98.2
2026-09-22T23:56:47.3489470-05:00,94.5
2026-09-22T23:56:52.3695983-05:00,98.7
2026-09-22T23:56:57.4040277-05:00,97.8
2026-09-22T23:57:02.4149552-05:00,97.6
2026-09-22T23:57:07.4316987-05:00,94.8
2026-09-22T23:57:12.4541993-05:00,83.6
2026-09-22T23:57:17.4762376-05:00,95.5
2026-09-22T23:57:22.4887765-05:00,78.8
2026-09-22T23:57:27.5109016-05:00,82.8
2026-09-22T23:57:32.5370011-05:00,93.9
2026-09-22T23:57:37.5565666-05:00,89.1
2026-09-22T23:57:42.5824830-05:00,84.1
2026-09-22T23:57:47.6070545-05:00,94.5
2026-09-22T23:57:52.6359514-05:00,81.3
2026-09-22T23:57:57.6617794-05:00,78.8
2026-09-22T23:58:02.6841323-05:00,82.2
2026-09-22T23:58:07.6963266-05:00,89.0
2026-09-22T23:58:12.7173843-05:00,84.1
